Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,P Pitching Outs,Batter H/PA,Pitcher H/PA,Against H/PA,Batter Pitcher Matchup H/PA
Nathaniel Lowe,Marcus Stroman,Right,Home,5,Left,5.83,0.22,0.23,0.2,0.22
Josh Jung,Marcus Stroman,Right,Home,6,Right,5.83,0.28,0.22,0.0,0.24
Wyatt Langford,Marcus Stroman,Right,Home,7,Right,5.83,0.23,0.22,0.5,0.23
Jonah Heim,Marcus Stroman,Right,Home,8,Both,5.83,0.19,0.22,0,0.21
Leody Taveras,Marcus Stroman,Right,Home,9,Both,5.83,0.2,0.22,0.0,0.21
Shohei Ohtani,Griffin Canning,Right,Away,1,Left,5.17,0.26,0.24,0,0.25
Mookie Betts,Griffin Canning,Right,Away,2,Right,5.17,0.25,0.24,0.4,0.25
Freddie Freeman,Griffin Canning,Right,Away,3,Left,5.17,0.25,0.24,0.5,0.25
Teoscar Hernandez,Griffin Canning,Right,Away,4,Right,5.17,0.24,0.24,0.67,0.26
Gavin Lux,Griffin Canning,Right,Away,5,Left,5.17,0.22,0.24,0.5,0.23
Will Smith,Griffin Canning,Right,Away,6,Right,5.17,0.21,0.24,0.4,0.23
Max Muncy,Griffin Canning,Right,Away,7,Left,5.17,0.2,0.24,0.0,0.21
Tommy Edman,Griffin Canning,Right,Away,8,Both,5.17,0.24,0.24,0.5,0.24
Miguel Rojas,Griffin Canning,Right,Away,9,Right,5.17,0.3,0.24,0.0,0.27
Taylor Ward,Bobby Miller,Right,Home,1,Right,5.17,0.23,0.25,0,0.24
Zach Neto,Bobby Miller,Right,Home,2,Right,5.17,0.19,0.25,0,0.22
Nolan Schanuel,Bobby Miller,Right,Home,3,Left,5.17,0.19,0.23,0,0.21
Anthony Rendon,Bobby Miller,Right,Home,4,Right,5.17,0.17,0.25,0,0.21
Mickey Moniak,Bobby Miller,Right,Home,5,Left,5.17,0.25,0.23,0,0.24
Logan O'Hoppe,Bobby Miller,Right,Home,6,Right,5.17,0.24,0.25,0,0.24
Brandon Drury,Bobby Miller,Right,Home,7,Right,5.17,0.14,0.25,0,0.19
Jo Adell,Bobby Miller,Right,Home,8,Right,5.17,0.19,0.25,0,0.22
Niko Kavadas,Bobby Miller,Right,Home,9,Left,5.17,0.06,0.23,0,0.14
Parker Meadows,Yu Darvish,Right,Away,1,Left,nan,0.21,0.28,0,0.24
Riley Greene,Yu Darvish,Right,Away,2,Left,nan,0.22,0.28,0,0.25
Matt Vierling,Yu Darvish,Right,Away,3,Right,nan,0.25,0.26,0,0.26
Kerry Carpenter,Yu Darvish,Right,Away,4,Left,nan,0.25,0.28,0,0.26
Colt Keith,Yu Darvish,Right,Away,5,Left,nan,0.24,0.28,0,0.26
Spencer Torkelson,Yu Darvish,Right,Away,6,Right,nan,0.22,0.26,0,0.24
Jace Jung,Yu Darvish,Right,Away,7,Left,nan,0.16,0.28,0,0.22
Trey Sweeney,Yu Darvish,Right,Away,8,Left,nan,0.2,0.28,0,0.24
Dillon Dingler,Yu Darvish,Right,Away,9,Right,nan,0.16,0.26,0,0.21
Fernando Tatis Jr,Keider Montero,Right,Home,1,Right,nan,0.25,0.21,0,0.23
Luis Arraez,Keider Montero,Right,Home,2,Left,nan,0.31,0.19,0,0.25
Jurickson Profar,Keider Montero,Right,Home,3,Both,nan,0.19,0.2,0,0.19
Manny Machado,Keider Montero,Right,Home,4,Right,nan,0.26,0.21,0,0.23
Jake Cronenworth,Keider Montero,Right,Home,5,Left,nan,0.22,0.19,0,0.21
Xander Bogaerts,Keider Montero,Right,Home,6,Right,nan,0.23,0.21,0,0.22
Jackson Merrill,Keider Montero,Right,Home,7,Left,nan,0.27,0.19,0,0.23
Kyle Higashioka,Keider Montero,Right,Home,8,Right,nan,0.24,0.21,0,0.23
Mason McCoy,Keider Montero,Right,Home,9,Right,nan,0.27,0.21,0,0.24
JP Crawford,JP Sears,Left,Away,1,Left,5.83,0.21,0.22,0.2,0.21
Julio Rodriguez,JP Sears,Left,Away,2,Right,5.83,0.22,0.23,0.19,0.22
Cal Raleigh,JP Sears,Left,Away,3,Both,5.83,0.16,0.22,0.0,0.19
Randy Arozarena,JP Sears,Left,Away,4,Right,5.83,0.19,0.23,0,0.21
Jorge Polanco,JP Sears,Left,Away,5,Both,5.83,0.16,0.22,0,0.19
Justin Turner,JP Sears,Left,Away,6,Right,5.83,0.22,0.23,0.5,0.23
Luis Urias,JP Sears,Left,Away,7,Right,5.83,0.13,0.23,0.0,0.18
Mitch Garver,JP Sears,Left,Away,8,Right,5.83,0.16,0.23,0.25,0.2
Victor Robles,JP Sears,Left,Away,9,Right,5.83,0.29,0.23,0.0,0.26
Lawrence Butler,George Kirby,Right,Home,1,Left,5.83,0.28,0.28,0.33,0.28
Brent Rooker,George Kirby,Right,Home,2,Right,5.83,0.26,0.27,0.33,0.27
JJ Bleday,George Kirby,Right,Home,3,Left,5.83,0.22,0.28,0.67,0.26
