Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Brenton Doyle,Braves,Away,4,24,5,212,38,Charlie Morton,Right,Right,4,1,384.0,96,279.0,55,530.0,131,579.0,128,312,70,257.0,66,23,5,14.0,57.0
Brendan Rodgers,Braves,Away,5,45,17,212,38,Charlie Morton,Right,Right,6,3,347.0,85,238.0,51,475.0,124,579.0,128,312,70,257.0,66,23,5,15.0,53.0
Michael Toglia,Braves,Away,6,24,5,212,38,Charlie Morton,Right,Both,2,0,238.0,45,182.0,33,359.0,69,579.0,128,312,70,579.0,128,23,5,9.0,66.0
Nolan Jones,Braves,Away,7,13,1,212,38,Charlie Morton,Right,Left,4,0,156.0,29,104.0,18,234.0,44,579.0,128,312,70,322.0,62,23,5,11.0,49.0
Jordan Beck,Braves,Away,8,5,0,212,38,Charlie Morton,Right,Right,0,0,93.0,20,82.0,14,138.0,27,579.0,128,312,70,257.0,66,23,5,6.0,44.0
Drew Romo,Braves,Away,9,3,0,212,38,Charlie Morton,Right,Both,0,0,23.0,5,19.0,3,38.0,7,579.0,128,312,70,579.0,128,23,5,7.0,36.0
Michael Harris II,Rockies,Home,1,27,10,232,60,Bradley Blalock,Right,Left,0,0,235.0,53,156.0,41,355.0,83,101.0,26,52,11,64.0,15,28,6,12.0,54.0
Jorge Soler,Rockies,Home,2,61,21,232,60,Bradley Blalock,Right,Right,0,0,347.0,68,225.0,47,484.0,96,101.0,26,52,11,37.0,11,28,6,,
Marcell Ozuna,Rockies,Home,3,37,9,232,60,Bradley Blalock,Right,Right,0,0,439.0,119,268.0,72,583.0,159,101.0,26,52,11,37.0,11,28,6,15.0,66.0
Matt Olson,Rockies,Home,4,51,9,232,60,Bradley Blalock,Right,Left,0,0,413.0,80,261.0,56,578.0,120,101.0,26,52,11,64.0,15,28,6,14.0,63.0
Travis d'Arnaud,Rockies,Home,5,23,8,232,60,Bradley Blalock,Right,Right,0,0,221.0,49,125.0,32,286.0,65,101.0,26,52,11,37.0,11,28,6,5.0,26.0
Whit Merrifield,Rockies,Home,6,35,8,232,60,Bradley Blalock,Right,Right,0,0,183.0,37,136.0,25,301.0,58,101.0,26,52,11,37.0,11,28,6,14.0,68.0
Jarred Kelenic,Rockies,Home,7,9,3,232,60,Bradley Blalock,Right,Left,0,0,349.0,76,203.0,47,417.0,90,101.0,26,52,11,64.0,15,28,6,,
Orlando Arcia,Rockies,Home,8,34,5,232,60,Bradley Blalock,Right,Right,0,0,373.0,81,237.0,43,504.0,104,101.0,26,52,11,37.0,11,28,6,10.0,64.0
Gio Urshela,Rockies,Home,9,15,6,232,60,Bradley Blalock,Right,Right,0,0,278.0,73,190.0,43,365.0,87,101.0,26,52,11,37.0,11,28,6,13.0,46.0
Masyn Winn,Brewers,Away,1,50,12,299,56,Colin Rea,Right,Right,6,2,364.0,100,269.0,67,539.0,140,606.0,134,305,62,296.0,66,122,31,21.0,75.0
Alec Burleson,Brewers,Away,2,48,9,299,56,Colin Rea,Right,Left,2,0,373.0,105,251.0,58,503.0,131,606.0,134,305,62,310.0,68,122,31,15.0,71.0
Nolan Arenado,Brewers,Away,3,120,27,299,56,Colin Rea,Right,Right,10,0,412.0,105,292.0,64,547.0,135,606.0,134,305,62,296.0,66,122,31,15.0,67.0
Brendan Donovan,Brewers,Away,4,62,7,299,56,Colin Rea,Right,Left,3,1,401.0,98,293.0,70,562.0,137,606.0,134,305,62,310.0,68,122,31,15.0,67.0
Paul Goldschmidt,Brewers,Away,5,125,27,299,56,Colin Rea,Right,Right,10,2,420.0,91,303.0,73,565.0,129,606.0,134,305,62,296.0,66,122,31,21.0,58.0
Lars Nootbaar,Brewers,Away,6,73,17,299,56,Colin Rea,Right,Left,5,2,236.0,51,171.0,40,327.0,71,606.0,134,305,62,310.0,68,122,31,17.0,66.0
Jordan Walker,Brewers,Away,7,26,5,299,56,Colin Rea,Right,Right,2,0,62.0,13,63.0,14,98.0,16,606.0,134,305,62,296.0,66,122,31,6.0,21.0
Ivan Herrera,Brewers,Away,8,12,3,299,56,Colin Rea,Right,Right,0,0,144.0,39,110.0,32,212.0,54,606.0,134,305,62,296.0,66,122,31,6.0,26.0
Michael Siani,Brewers,Away,9,21,7,299,56,Colin Rea,Right,Left,2,1,170.0,44,138.0,31,256.0,61,606.0,134,305,62,310.0,68,122,31,,
Brice Turang,Cardinals,Home,1,63,12,262,54,Sonny Gray,Right,Left,6,2,429.0,102,251.0,46,526.0,122,592.0,127,278,66,288.0,67,29,8,12.0,63.0
Jackson Chourio,Cardinals,Home,2,38,10,262,54,Sonny Gray,Right,Right,2,0,340.0,87,235.0,53,475.0,123,592.0,127,278,66,304.0,60,29,8,20.0,72.0
William Contreras,Cardinals,Home,3,86,25,262,54,Sonny Gray,Right,Right,6,2,461.0,110,281.0,69,600.0,148,592.0,127,278,66,304.0,60,29,8,14.0,82.0
Jake Bauers,Cardinals,Home,4,34,9,262,54,Sonny Gray,Right,Left,6,2,268.0,43,159.0,26,298.0,51,592.0,127,278,66,288.0,67,29,8,3.0,33.0
