Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H
Sal Frelick,Sonny Gray,Right,Home,8,Left,5,0,383.0,94,218.0,55,456.0,110,592.0,127,278,66,288.0,67,29,8
Joey Ortiz,Sonny Gray,Right,Home,9,Right,4,1,298.0,66,195.0,42,421.0,88,592.0,127,278,66,304.0,60,29,8
Steven Kwan,Seth Lugo,Right,Away,1,Left,5,2,349.0,89,256.0,67,498.0,133,726.0,156,366,80,378.0,86,131,36
Andres Gimenez,Seth Lugo,Right,Away,2,Left,5,0,379.0,90,292.0,69,537.0,125,726.0,156,366,80,378.0,86,131,36
Jose Ramirez,Seth Lugo,Right,Away,3,Both,7,1,418.0,91,302.0,69,583.0,146,726.0,156,366,80,726.0,156,131,36
Josh Naylor,Seth Lugo,Right,Away,4,Left,6,2,385.0,89,274.0,56,544.0,119,726.0,156,366,80,378.0,86,131,36
Jhonkensy Noel,Seth Lugo,Right,Away,5,Right,3,0,101.0,23,71.0,15,152.0,35,726.0,156,366,80,348.0,70,131,36
Kyle Manzardo,Seth Lugo,Right,Away,6,Left,3,0,78.0,19,60.0,13,97.0,22,726.0,156,366,80,378.0,86,131,36
Lane Thomas,Seth Lugo,Right,Away,7,Right,7,1,307.0,59,210.0,47,438.0,93,726.0,156,366,80,348.0,70,131,36
Bo Naylor,Seth Lugo,Right,Away,8,Left,2,2,257.0,50,182.0,37,327.0,63,726.0,156,366,80,378.0,86,131,36
Brayan Rocchio,Seth Lugo,Right,Away,9,Both,2,0,264.0,52,195.0,36,375.0,70,726.0,156,366,80,726.0,156,131,36
Tommy Pham,Ben Lively,Right,Home,1,Right,9,3,293.0,70,203.0,48,386.0,89,542.0,119,271,57,279.0,66,23,4
Bobby Witt Jr,Ben Lively,Right,Home,2,Right,6,3,494.0,152,303.0,107,610.0,189,542.0,119,271,57,279.0,66,23,4
Michael Massey,Ben Lively,Right,Home,3,Left,5,0,230.0,56,155.0,42,277.0,68,542.0,119,271,57,263.0,53,23,4
Salvador Perez,Ben Lively,Right,Home,4,Right,4,2,424.0,102,283.0,68,557.0,139,542.0,119,271,57,279.0,66,23,4
Paul DeJong,Ben Lively,Right,Home,5,Right,9,3,330.0,75,214.0,48,445.0,96,542.0,119,271,57,279.0,66,23,4
MJ Melendez,Ben Lively,Right,Home,6,Left,5,2,328.0,67,194.0,41,397.0,78,542.0,119,271,57,263.0,53,23,4
Freddy Fermin,Ben Lively,Right,Home,7,Right,3,1,209.0,54,132.0,38,317.0,85,542.0,119,271,57,279.0,66,23,4
Maikel Garcia,Ben Lively,Right,Home,8,Right,4,2,427.0,94,291.0,64,559.0,124,542.0,119,271,57,279.0,66,23,4
Kyle Isbel,Ben Lively,Right,Home,9,Left,2,1,302.0,67,197.0,45,355.0,76,542.0,119,271,57,263.0,53,23,4
Isiah Kiner-Falefa,Shota Imanaga,Left,Away,1,Right,0,0,106.0,24,199.0,49,400.0,102,590.0,131,301,66,473.0,107,24,2
Bryan Reynolds,Shota Imanaga,Left,Away,2,Both,3,1,172.0,45,306.0,75,592.0,151,590.0,131,301,66,590.0,131,24,2
Nick Gonzales,Shota Imanaga,Left,Away,3,Right,3,0,75.0,21,156.0,44,294.0,75,590.0,131,301,66,473.0,107,24,2
Andrew McCutchen,Shota Imanaga,Left,Away,4,Right,3,0,126.0,23,239.0,49,452.0,93,590.0,131,301,66,473.0,107,24,2
Oneil Cruz,Shota Imanaga,Left,Away,5,Left,0,0,129.0,29,255.0,54,512.0,127,590.0,131,301,66,117.0,24,24,2
Connor Joe,Shota Imanaga,Left,Away,6,Right,3,0,155.0,34,200.0,42,384.0,80,590.0,131,301,66,473.0,107,24,2
Bryan De La Cruz,Shota Imanaga,Left,Away,7,Right,3,0,173.0,47,260.0,55,553.0,124,590.0,131,301,66,473.0,107,24,2
