Batter,Opposing Pitcher,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Shohei Ohtani,Griffin Canning,Angels,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Mookie Betts,Griffin Canning,Angels,Away,2,5,2,1,0,1,1,0,0,.400,.400,1.200,1.600
Freddie Freeman,Griffin Canning,Angels,Away,3,2,1,0,0,1,1,0,0,.500,.500,2.000,2.500
Teoscar Hernandez,Griffin Canning,Angels,Away,4,6,4,1,0,1,3,0,2,.667,.667,1.333,2.000
Gavin Lux,Griffin Canning,Angels,Away,5,2,1,0,0,0,0,0,0,.500,.500,.500,1.000
Will Smith,Griffin Canning,Angels,Away,6,4,2,1,0,0,0,1,0,.500,.600,.750,1.350
Max Muncy,Griffin Canning,Angels,Away,7,7,0,0,0,0,0,1,3,.000,.125,.000,.125
Tommy Edman,Griffin Canning,Angels,Away,8,2,1,0,0,1,3,0,0,.500,.500,2.000,2.500
Miguel Rojas,Griffin Canning,Angels,Away,9,1,0,0,0,0,0,0,0,.000,.000,.000,.000
Taylor Ward,Bobby Miller,Dodgers,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Zach Neto,Bobby Miller,Dodgers,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Nolan Schanuel,Bobby Miller,Dodgers,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Rendon,Bobby Miller,Dodgers,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
Mickey Moniak,Bobby Miller,Dodgers,Home,5,0,0,0,0,0,0,0,0,0,0,0,0
Logan O'Hoppe,Bobby Miller,Dodgers,Home,6,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Drury,Bobby Miller,Dodgers,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Jo Adell,Bobby Miller,Dodgers,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Niko Kavadas,Bobby Miller,Dodgers,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Parker Meadows,Yu Darvish,Padres,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Riley Greene,Yu Darvish,Padres,Away,2,0,0,0,0,0,0,0,0,0,0,0,0
Matt Vierling,Yu Darvish,Padres,Away,3,0,0,0,0,0,0,0,0,0,0,0,0
Kerry Carpenter,Yu Darvish,Padres,Away,4,0,0,0,0,0,0,0,0,0,0,0,0
Colt Keith,Yu Darvish,Padres,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Torkelson,Yu Darvish,Padres,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
Jace Jung,Yu Darvish,Padres,Away,7,0,0,0,0,0,0,0,0,0,0,0,0
Trey Sweeney,Yu Darvish,Padres,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Dingler,Yu Darvish,Padres,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Tatis Jr,Keider Montero,Tigers,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Luis Arraez,Keider Montero,Tigers,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Jurickson Profar,Keider Montero,Tigers,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
Manny Machado,Keider Montero,Tigers,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
