Batter,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Andrew Benintendi,Orioles,Away,3,63,13,3,0,1,3,6,13,.206,.275,.302,.577
Andrew Vaughn,Orioles,Away,4,52,14,1,0,4,11,5,6,.269,.333,.519,.853
Gavin Sheets,Orioles,Away,5,37,8,1,1,0,7,1,9,.216,.237,.297,.534
Korey Lee,Orioles,Away,6,24,6,0,0,0,1,0,7,.250,.250,.250,.500
Dominic Fletcher,Orioles,Away,7,4,0,0,0,0,0,0,2,.000,.000,.000,.000
Lenyn Sosa,Orioles,Away,8,13,4,1,0,1,1,0,4,.308,.308,.615,.923
Jacob Amaya,Orioles,Away,9,6,3,0,0,0,0,0,2,.500,.500,.500,1.000
Gunnar Henderson,White Sox,Home,1,16,5,2,0,2,4,5,3,.312,.476,.812,1.289
Adley Rutschman,White Sox,Home,2,23,6,0,0,1,5,1,4,.261,.292,.391,.683
Ryan O'Hearn,White Sox,Home,3,14,7,3,1,0,3,6,3,.500,.650,.857,1.507
Anthony Santander,White Sox,Home,4,29,10,2,0,0,6,3,10,.345,.406,.414,.820
Colton Cowser,White Sox,Home,5,11,1,0,0,0,2,3,6,.091,.286,.091,.377
Eloy Jimenez,White Sox,Home,6,8,3,0,0,1,3,2,1,.375,.500,.750,1.250
Cedric Mullins,White Sox,Home,7,25,7,3,0,0,4,3,7,.280,.357,.400,.757
Jackson Holliday,White Sox,Home,8,8,0,0,0,0,0,0,3,.000,.000,.000,.000
Emmanuel Rivera,White Sox,Home,9,14,2,1,0,0,1,2,3,.143,.250,.214,.464
Jose Altuve,Reds,Away,1,55,11,3,0,2,5,4,6,.200,.254,.364,.618
Yordan Alvarez,Reds,Away,2,17,5,2,0,1,1,3,4,.294,.400,.588,.988
Alex Bregman,Reds,Away,3,45,14,1,0,4,6,5,3,.311,.380,.600,.980
Yainer Diaz,Reds,Away,4,7,3,1,0,0,3,0,1,.429,.429,.571,1.000
Jon Singleton,Reds,Away,5,11,0,0,0,0,0,2,5,.000,.154,.000,.154
Jeremy Pena,Reds,Away,6,12,2,1,0,0,2,0,2,.167,.167,.250,.417
Ben Gamel,Reds,Away,7,27,3,1,0,0,2,6,8,.111,.273,.148,.421
Mauricio Dubon,Reds,Away,8,14,2,1,0,0,1,0,2,.143,.143,.214,.357
Jason Heyward,Reds,Away,9,37,6,1,0,1,3,5,11,.162,.262,.270,.532
Jonathan India,Astros,Home,1,18,4,1,0,1,1,4,5,.222,.364,.444,.808
Elly De La Cruz,Astros,Home,2,13,3,1,0,1,2,2,6,.231,.333,.538,.872
Tyler Stephenson,Astros,Home,3,21,4,0,0,1,2,3,7,.190,.292,.333,.625
TJ Friedl,Astros,Home,4,12,3,0,0,0,3,1,3,.250,.308,.250,.558
Spencer Steer,Astros,Home,5,17,4,1,0,1,3,4,5,.235,.381,.471,.852
Ty France,Astros,Home,6,121,34,6,0,2,10,5,32,.281,.307,.380,.687
Jake Fraley,Astros,Home,7,14,4,1,0,1,4,1,5,.286,.333,.571,.905
Santiago Espinal,Astros,Home,8,23,4,0,0,1,3,3,7,.174,.269,.304,.574
Amed Rosario,Astros,Home,9,46,9,1,0,2,5,0,18,.196,.196,.348,.543
Dylan Crews,Marlins,Away,1,5,1,0,0,0,0,0,0,.200,.200,.200,.400
Jose Tena,Marlins,Away,2,5,0,0,0,0,0,0,2,.000,.000,.000,.000
Andres Chaparro,Marlins,Away,3,5,1,1,0,0,1,0,0,.200,.200,.400,.600
James Wood,Marlins,Away,4,4,1,1,0,0,0,2,2,.250,.500,.500,1.000
Luis Garcia Jr,Marlins,Away,5,19,4,0,0,1,1,1,6,.211,.250,.368,.618
Joey Gallo,Marlins,Away,6,11,1,0,0,1,3,2,4,.091,.231,.364,.594
CJ Abrams,Marlins,Away,7,15,2,1,0,0,0,3,4,.133,.278,.200,.478
Keibert Ruiz,Marlins,Away,8,15,4,1,0,1,1,1,1,.267,.312,.533,.846
Jacob Young,Marlins,Away,9,7,5,1,0,0,2,1,0,.714,.750,.857,1.607
Xavier Edwards,Nationals,Home,1,7,0,0,0,0,0,0,2,.000,.000,.000,.000
