Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
Bryan De La Cruz,Shota Imanaga,Left,Away,7,3,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Jared Triolo,Shota Imanaga,Left,Away,8,3,1,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Henry Davis,Shota Imanaga,Left,Away,9,0,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Ian Happ,Domingo German,Right,Home,1,4,0,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Michael Busch,Domingo German,Right,Home,2,2,0,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Seiya Suzuki,Domingo German,Right,Home,3,4,3,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Cody Bellinger,Domingo German,Right,Home,4,7,0,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Isaac Paredes,Domingo German,Right,Home,5,7,0,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Nico Hoerner,Domingo German,Right,Home,6,5,0,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Dansby Swanson,Domingo German,Right,Home,7,4,1,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Pete Crow-Armstrong,Domingo German,Right,Home,8,2,1,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Miguel Amaya,Domingo German,Right,Home,9,2,2,81.0,16,15.0,10,7,40.0,9,41.0,7,0.0,0,1
Gleyber Torres,Nathan Eovaldi,Right,Away,1,48,10,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Juan Soto,Nathan Eovaldi,Right,Away,2,6,2,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Aaron Judge,Nathan Eovaldi,Right,Away,3,38,14,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Austin Wells,Nathan Eovaldi,Right,Away,4,2,1,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Giancarlo Stanton,Nathan Eovaldi,Right,Away,5,40,12,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Jazz Chisholm Jr,Nathan Eovaldi,Right,Away,6,4,1,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Anthony Rizzo,Nathan Eovaldi,Right,Away,7,26,9,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Anthony Volpe,Nathan Eovaldi,Right,Away,8,8,0,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Alex Verdugo,Nathan Eovaldi,Right,Away,9,8,1,560.0,117,82.2,59,13,280.0,52,280.0,65,23.0,20,5
Marcus Semien,Marcus Stroman,Right,Home,1,20,7,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Corey Seager,Marcus Stroman,Right,Home,2,13,3,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Josh Smith,Marcus Stroman,Right,Home,3,4,1,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Adolis Garcia,Marcus Stroman,Right,Home,4,5,0,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
